('11.08', 'KAB. ACEH UTARA'),
('Lhoksukon', 'Meunasah Tutong'),
('Lhoksukon', 'Meunasah Nga LB'),
('Lhoksukon', 'Keutapang'),
('Lhoksukon', 'Matang Munjee'),
('Lhoksukon', 'Pulo Dulang'),
('Lhoksukon', 'Dayah LB'),
('Lhoksukon', 'Meunasah Geumata'),
('Lhoksukon', 'Meunasah Meureubo'),
('Lhoksukon', 'Meunasah Dayah LT'),
('Lhoksukon', 'Arongan LT'),
('Lhoksukon', 'Meunasah  Tuha'),
('Lhoksukon', 'Meunasah  Krueng LT'),
('Lhoksukon', 'Babah Geudeubang'),
('Lhoksukon', 'Grong-grong'),
('Lhoksukon', 'Alue Itam Reudeup'),
('Lhoksukon', 'Teupin Keubeu'),
('Lhoksukon', 'Meunasah  Nga LT'),
('Lhoksukon', 'Meunasah  Meuria'),
('Lhoksukon', 'Kumbang LT'),
('Lhoksukon', 'Seneubok Dalam'),
('Lhoksukon', 'Aleu Eumpok'),
('Lhoksukon', 'Meunasah  Jok'),
('Lhoksukon', 'Manyang'),
('Lhoksukon', 'Lhok Kareung'),
('Lhoksukon', 'Cot Asan'),
('Lhoksukon', 'Alue Abee'),
('Lhoksukon', 'Buloh LT'),
('Lhoksukon', 'Geulumpang'),
('Lhoksukon', 'Meunasah Teungoh LT'),
('Lhoksukon', 'Mata U'),
('Lhoksukon', 'Meucat'),
('Lhoksukon', 'Buket Mee LT'),
('Lhoksukon', 'Ulee Tanoh'),
('Lhoksukon', 'Buket Kreung'),
('Lhoksukon', 'Ulee Gunong'),
('Lhoksukon', 'Lhok Seuntang'),
('Lhoksukon', 'Alue Itam Baroh'),
('Lhoksukon', 'Mata Ie'),
('Lhoksukon', 'Rawa'),
('Lhoksukon', 'Buket Hagu'),


('Matangkuli', 'Keude Matangkuli'),
('Matangkuli', 'Ude'),
('Matangkuli', 'Blang Matangkuli'),
('Matangkuli', 'Rayeuk Matangkuli'),
('Matangkuli', 'Tumpok Perlak'),
('Matangkuli', 'Ujong  Kulam'),
('Matangkuli', 'Tanjong Teungku Ali'),
('Matangkuli', 'Rayeuk Glang Glong'),
('Matangkuli', 'Punti Geulumpang  VII'),
('Matangkuli', 'Geulumpang VII'),
('Matangkuli', 'Teungoh Glumpang VII'),
('Matangkuli', 'Aron Geulumpang VII'),
('Matangkuli', 'Matang Munye'),
('Matangkuli', 'Parang Sikureung'),
('Matangkuli', 'Baro'),
('Matangkuli', 'Mee'),
('Matangkuli', 'Tanjong Babah Krueng'),
('Matangkuli', 'Punti Matangkuli'),
('Matangkuli', 'Teupin Keubue'),
('Matangkuli', 'Trieng Teupin Keubue'),
('Matangkuli', 'Matang Mee'),
('Matangkuli', 'Jeumpa Geulumpang VII'),
('Matangkuli', 'Tumpok Barat'),
('Matangkuli', 'Meuria Matangkuli'),
('Matangkuli', 'Hagu'),
('Matangkuli', 'Alue Tho'),
('Matangkuli', 'Ceubrek Pirak'),
('Matangkuli', 'Rayeuk Pirak'),
('Matangkuli', 'Aron Pirak'),
('Matangkuli', 'Lawang'),
('Matangkuli', 'Tanjong Haji Muda'),
('Matangkuli', 'Siren'),
('Matangkuli', 'Meunye Pirak'),
('Matangkuli', 'Beuringen Pirak'),
('Matangkuli', 'Teungoh Pirak'),
('Matangkuli', 'Mesjid Pirak'),
('Matangkuli', 'Matang Peusangan'),
('Matangkuli', 'Pante Pirak'),
('Matangkuli', 'Leubok Pirak'),
('Matangkuli', 'Blang Kuta'),
('Matangkuli', 'Blang Supeng'),
('Matangkuli', 'Beurancan  Pirak'),
('Matangkuli', 'Alue Entok'),
('Matangkuli', 'Tanjong Teungku Kari'),
